Gear_Mortar_MechMortar,Upgrade,1,1
Weapon_Flamer_Flamer_0-STOCK,Weapon,4,3
Weapon_Flamer_Flamer_1-Hotshot,Weapon,1,2
Weapon_Flamer_Flamer_2-Olympus,Weapon,1,1
Weapon_LRM_LRM5_0-STOCK,Weapon,6,6
Weapon_LRM_LRM5_1-Delta,Weapon,1,2
Weapon_LRM_LRM5_1-LongFire,Weapon,1,2
Weapon_LRM_LRM5_1-Telos,Weapon,1,2
Weapon_LRM_LRM10_0-STOCK,Weapon,4,2
Weapon_LRM_LRM10_1-Delta,Weapon,1,2
Weapon_LRM_LRM10_1-LongFire,Weapon,1,2
Weapon_LRM_LRM10_1-Telos,Weapon,1,2
Weapon_LRM_LRM15_0-STOCK,Weapon,2,6
Weapon_LRM_LRM15_1-Delta,Weapon,1,2
Weapon_LRM_LRM15_1-LongFire,Weapon,1,2
Weapon_LRM_LRM15_1-Telos,Weapon,1,2
Weapon_LRM_LRM20_0-STOCK,Weapon,1,6
Weapon_LRM_LRM20_1-Delta,Weapon,1,2
Weapon_LRM_LRM20_1-LongFire,Weapon,1,2
Weapon_LRM_LRM20_1-Telos,Weapon,1,2
Weapon_SRM_SRM2_0-STOCK,Weapon,6,6
Weapon_SRM_SRM2_1-Holly,Weapon,1,2
Weapon_SRM_SRM2_1-Irian,Weapon,1,2
Weapon_SRM_SRM4_0-STOCK,Weapon,4,6
Weapon_SRM_SRM4_1-Holly,Weapon,1,2
Weapon_SRM_SRM4_1-Irian,Weapon,1,2
Weapon_SRM_SRM6_0-STOCK,Weapon,2,6
Weapon_SRM_SRM6_1-Holly,Weapon,1,2
Weapon_SRM_SRM6_1-Irian,Weapon,1,2
Weapon_LRM_LRM10_2-Delta,Weapon,1,2
Weapon_LRM_LRM10_2-LongFire,Weapon,1,2
Weapon_LRM_LRM10_2-Telos,Weapon,1,2
Weapon_LRM_LRM10_2-Zeus,Weapon,1,2
Weapon_LRM_LRM15_2-Delta,Weapon,1,2
Weapon_LRM_LRM15_2-LongFire,Weapon,1,2
Weapon_LRM_LRM15_2-Telos,Weapon,1,2
Weapon_LRM_LRM15_2-Zeus,Weapon,1,2
Weapon_LRM_LRM20_2-Delta,Weapon,1,2
Weapon_LRM_LRM20_2-LongFire,Weapon,1,2
Weapon_LRM_LRM20_2-Telos,Weapon,1,2
Weapon_LRM_LRM20_2-Zeus,Weapon,1,2
Weapon_LRM_LRM5_2-Delta,Weapon,1,2
Weapon_LRM_LRM5_2-LongFire,Weapon,1,2
Weapon_LRM_LRM5_2-Telos,Weapon,1,2
Weapon_LRM_LRM5_2-Zeus,Weapon,1,2
Weapon_SRM_SRM2_2-Holly,Weapon,1,2
Weapon_SRM_SRM2_2-Irian,Weapon,1,2
Weapon_SRM_SRM2_2-Valiant,Weapon,1,2
Weapon_SRM_SRM4_2-Holly,Weapon,1,2
Weapon_SRM_SRM4_2-Irian,Weapon,1,2
Weapon_SRM_SRM4_2-Valiant,Weapon,1,2
Weapon_SRM_SRM6_2-Holly,Weapon,1,2
Weapon_SRM_SRM6_2-Irian,Weapon,1,2
Weapon_SRM_SRM6_2-Valiant,Weapon,1,2
Ammo_AmmunitionBox_Generic_SRMInferno,AmmunitionBox,1,2
itemCollection_SLDF_Weapons_lvl-5,Reference,10,1
itemCollection_SLDF_Weapons_lvl-4,Reference,6,1
