Gear_Mortar_MechMortar,Upgrade,1,1
Weapon_Autocannon_AC2_0-STOCK,Weapon,3,6
Weapon_Autocannon_AC2_1-Defiance,Weapon,1,3
Weapon_Autocannon_AC2_1-Federated,Weapon,1,3
Weapon_Autocannon_AC2_1-Kali_Yama,Weapon,1,3
Weapon_Autocannon_AC2_1-Mydron,Weapon,1,3
Weapon_Autocannon_AC5_0-STOCK,Weapon,2,6
Weapon_Autocannon_AC5_1-Defiance,Weapon,1,3
Weapon_Autocannon_AC5_1-Federated,Weapon,1,3
Weapon_Autocannon_AC5_1-Imperator,Weapon,1,3
Weapon_Autocannon_AC5_1-Kali_Yama,Weapon,1,3
Weapon_Autocannon_AC10_0-STOCK,Weapon,2,6
Weapon_Autocannon_AC10_1-Defiance,Weapon,1,3
Weapon_Autocannon_AC10_1-Imperator,Weapon,1,3
Weapon_Autocannon_AC10_1-Kali_Yama,Weapon,1,3
Weapon_Autocannon_AC10_1-Mydron,Weapon,1,3
Weapon_Autocannon_AC20_0-STOCK,Weapon,1,6
Weapon_Autocannon_AC20_1-Defiance,Weapon,1,3
Weapon_Autocannon_AC20_1-Federated,Weapon,1,3
Weapon_Autocannon_AC20_1-Imperator,Weapon,1,3
Weapon_Autocannon_AC20_1-Mydron,Weapon,1,3
Weapon_Autocannon_AC2_2-Defiance,Weapon,1,3
Weapon_Autocannon_AC2_2-Federated,Weapon,1,3
Weapon_Autocannon_AC2_2-Imperator,Weapon,1,3
Weapon_Autocannon_AC2_2-Kali_Yama,Weapon,1,3
Weapon_Autocannon_AC2_2-Mydron,Weapon,1,3
Weapon_Autocannon_AC5_2-Defiance,Weapon,1,3
Weapon_Autocannon_AC5_2-Federated,Weapon,1,3
Weapon_Autocannon_AC5_2-Imperator,Weapon,1,3
Weapon_Autocannon_AC5_2-Kali_Yama,Weapon,1,3
Weapon_Autocannon_AC5_2-Mydron,Weapon,1,3
Weapon_Autocannon_AC10_2-Defiance,Weapon,1,3
Weapon_Autocannon_AC10_2-Federated,Weapon,1,3
Weapon_Autocannon_AC10_2-Imperator,Weapon,1,3
Weapon_Autocannon_AC10_2-Kali_Yama,Weapon,1,3
Weapon_Autocannon_AC10_2-Mydron,Weapon,1,3
Weapon_Autocannon_AC20_2-Defiance,Weapon,1,3
Weapon_Autocannon_AC20_2-Federated,Weapon,1,3
Weapon_Autocannon_AC20_2-Imperator,Weapon,1,3
Weapon_Autocannon_AC20_2-Kali_Yama,Weapon,1,3
Weapon_Autocannon_AC20_2-Mydron,Weapon,1,3
itemCollection_SLDF_Weapons_lvl-4,Reference,6,1
itemCollection_SLDF_Weapons_lvl-5,Reference,10,1
